t,x,y,vx,vy,psi,omega,ax_true,ay_true,ax_meas,ay_meas,omega_meas,Bx_true,By_true,Bz_true,f1_plus,f1_minus,f2_plus,f2_minus,f3_plus,f3_minus,f4_plus,f4_minus
1822.2,580.6362993368064,567.2574824135046,3.928506714526002,3.0930300667669095,0.6669672673217145,-0.0039014043556589995,0.012067145095528975,-0.015326705079563574,0.009935539628225147,-0.01446614035373547,-0.0037794873503880417,20819.79334509815,-8066.312543075037,46203.74136586555,2872.034112275543,2868.125887724457,2870.799746487621,2869.3602535123787,2869.8648113869795,2870.2951886130204,2871.621329849856,2868.538670150144
1822.3000000000002,580.9929142900463,567.5381432612584,3.9297162727944626,3.091493169220078,0.666576110814775,-0.003921745408672073,0.012124033142268953,-0.015411358697854372,0.009723923815768306,-0.00557682101520676,-0.0035851319399231828,20819.677163969027,-8068.657436706781,46209.2002191339,2872.0341607889764,2868.1258392110235,2870.7996942138393,2869.3603057861606,2869.8646869781182,2870.2953130218816,2871.6214580190654,2868.5385419809345
1822.4,581.349440424624,567.8185078536723,3.9309315211544558,3.0899477950273386,0.6661829182399801,-0.003942125828160226,0.012180946888666888,-0.015496238701584453,0.013286759266135484,-0.016678728627072526,-0.004099032999237212,20819.55829486178,-8070.995436416342,46214.66274473301,2872.034209429905,2868.125790570095,2870.799641725563,2869.3603582744367,2869.864562664892,2870.2954373351076,2871.6215861796395,2868.5384138203603
1822.5,581.7058773495659,568.0985749609313,3.932152462172196,3.0883939214797613,0.6657876856491429,-0.003962545840897613,0.012237886244332863,-0.015581346484039305,0.016050363304631294,-0.017833424876337475,-0.0039435536755458135,20819.420623017868,-8073.339233585648,46220.10124256896,2872.0342572838813,2868.1257427161186,2870.7995894156647,2869.360410584335,2869.864438950977,2870.295561049023,2871.621714349477,2868.538285650523
1822.6000000000001,582.0622246739964,568.3783433545246,3.9333790984033223,3.0868315257305308,0.6653904090718006,-0.003983005666748363,0.012294851091685377,-0.015666683413979587,0.009110490454052827,-0.02028570425718116,-0.003931447403517502,20819.26508423312,-8075.689743180919,46225.515341405044,2872.034304345234,2868.125695654766,2870.799537320104,2869.360462679896,2869.8643158124282,2870.2956841875716,2871.6218425222337,2868.538157477766
1822.7,582.4184820071347,568.6578118072497,3.934611432390533,3.0852605847969654,0.6649910845157933,-0.004003505530354445,0.01235184132210021,-0.015752250881537755,0.012940650466291483,-0.017097583408446124,-0.004183120243006262,20819.107277776493,-8078.037505151224,46230.9288251158,2872.0343514043993,2868.1256485956005,2870.799485153334,2869.360514846666,2869.864192764998,2870.295807235002,2871.621970677268,2868.5380293227317
1822.8000000000002,582.7746489583031,568.9369790932228,3.9358494666677424,3.083681075554223,0.6645897079657297,-0.004024045657975983,0.012408856826013892,-0.01583805028585905,0.01326555851378082,-0.011085085875358894,-0.004206992905189684,20818.927142797475,-8080.380281888574,46236.32238690586,2872.034397860497,2868.125602139503,2870.7994328669415,2869.3605671330583,2869.864070481988,2870.2959295180117,2871.6220987905726,2868.537901209427
1822.9,583.13072513692,569.2158439878788,3.937093203755736,3.0820929747397936,0.664186275384198,-0.00404462627299651,0.012465897479037036,-0.01592408301742898,0.014132897955686083,-0.013255968342917866,-0.0045293313400427155,20818.732207261564,-8082.730289085885,46241.69433451325,2872.034443610279,2868.1255563897207,2870.7993808078263,2869.3606191921735,2869.863948671272,2870.296051328728,2871.622226910623,2868.537773089377
1823.0,583.4867101525028,569.4944052679789,3.93834264616355,3.0804962589507374,0.6637807827111304,-0.004065247601469646,0.012522963159040668,-0.01601035047989363,0.004580197822418164,-0.009346443195795376,-0.004341451150686497,20818.533419234154,-8085.088855463255,46247.05774301278,2872.0344890210117,2868.125510978988,2870.7993289630695,2869.3606710369304,2869.8638269225758,2870.296173077424,2871.6223550933432,2868.5376449066566
1823.1000000000001,583.8426036146727,569.7726617116188,3.939597796387544,3.078890904643815,0.6633732258639041,-0.0040859098704548735,0.012580053740918196,-0.016096854083538226,0.008278472299866987,-0.014418321701756658,-0.004328228231988064,20818.304272519526,-8087.428144250953,46252.40115195789,2872.0345339287624,2868.1254660712375,2870.7992766386974,2869.3607233613025,2869.863706300805,2870.296293699195,2871.622483131735,2868.537516868265
